catalog_id,catalog,container_id,container,type_id,content_type,event_part_type
8144,congress_israel_haolami_2010-07,24084,2010-07-23_heb_norav_program_shevet-ahim,1,VIDEO_PROGRAM_CHAPTER,
8144,congress_israel_haolami_2010-07,24087,2010-07-24_xx_heb_norav_program_kulanu-yahad_congress,1,VIDEO_PROGRAM_CHAPTER,
8144,congress_israel_haolami_2010-07,24097,2010-07-25_xx_mlt_norav_program_yeshivat-haverim_congress,1,FRIENDS_GATHERING,
8144,congress_israel_haolami_2010-07,24102,2010-07-25_xx_heb_rav_lecture_ta_erev-ihud_mega_congress,5,EVENT_PART,EREV_PATUAH
8096,congress_usa_new-jersey_2013,42443,2013-05-05_rav_program_sihot_ahana-lekenes-america,1,VIDEO_PROGRAM_CHAPTER,
8096,congress_usa_new-jersey_2013,42552,2013-05-10_rav_program_congress_sadna-1,1,LESSON_PART,
8096,congress_usa_new-jersey_2013,42553,2013-05-10_rav_program_congress_sadna-sheelot-1,1,LESSON_PART,
8096,congress_usa_new-jersey_2013,42555,2013-05-10_norav_program_congress_yeshivat-haverim-1,1,FRIENDS_GATHERING,
8096,congress_usa_new-jersey_2013,42556,2013-05-10_norav_program_congress_erev-tarbut-1,1,EVENT_PART,EREV_TARBUT
8096,congress_usa_new-jersey_2013,42558,2013-05-10_rav_program_congress_sadna-2,1,LESSON_PART,
8096,congress_usa_new-jersey_2013,42560,2013-05-10_rav_program_congress_sadna-sheelot-3,1,LESSON_PART,
8096,congress_usa_new-jersey_2013,42561,2013-05-10_rav_program_congress_sadna-3,1,LESSON_PART,
8096,congress_usa_new-jersey_2013,42562,2013-05-10_rav_program_congress_sadna-sheelot-2,1,LESSON_PART,
8096,congress_usa_new-jersey_2013,42563,2013-05-10_rav_lesson_congress_n5,4,LESSON_PART,
8096,congress_usa_new-jersey_2013,42566,2013-05-10_norav_program_congress_erev-tarbut-2,1,EVENT_PART,EREV_TARBUT
8096,congress_usa_new-jersey_2013,42568,2013-05-10_rav_program_congress_sadna-4,1,LESSON_PART,
8096,congress_usa_new-jersey_2013,42569,2013-05-10_rav_program_congress_sadna-sheelot-4,1,LESSON_PART,
8062,congress_bulgaria_2014,52043,2014-07-11_rav_program_congress_sadna-2,1,LESSON_PART,
8062,congress_bulgaria_2014,52046,2014-07-11_rav_program_congress_sadna-1,1,LESSON_PART,
8097,congress_usa_new-jersey_2014,52583,2014-08-08_norav_program_congress_sadna-2,1,LESSON_PART,
8097,congress_usa_new-jersey_2014,52581,2014-08-08_norav_program_congress_presentation-1,1,EVENT_PART,ATZAGAT_PROEKT
8097,congress_usa_new-jersey_2014,52575,2014-08-08_rav_program_congress_sadna-0,1,LESSON_PART,
8097,congress_usa_new-jersey_2014,52589,2014-08-08_norav_program_congress_sadna-4-hinuh-integrali,1,LESSON_PART,
8097,congress_usa_new-jersey_2014,52586,2014-08-08_rav_program_congress_sadna-5,1,LESSON_PART,
8097,congress_usa_new-jersey_2014,52585,2014-08-08_rav_program_congress_sadna-3,1,LESSON_PART,
8097,congress_usa_new-jersey_2014,52580,2014-08-08_norav_program_congress_sadna-1,1,LESSON_PART,
8097,congress_usa_new-jersey_2014,52595,2014-08-10_rav_program_congress_sadna-6,1,LESSON_PART,
8010,congress_ukraine_kiev_2017,68360,2017-03-23_norav_program_congress_yeshivat-haverim-0,1,FRIENDS_GATHERING,
8010,congress_ukraine_kiev_2017,68362,2017-03-24_norav_program_congress_yeshivat-haverim-1,1,FRIENDS_GATHERING,
8010,congress_ukraine_kiev_2017,68364,2017-03-24_norav_program_congress_yeshivat-haverim-2,1,FRIENDS_GATHERING,
8010,congress_ukraine_kiev_2017,68368,2017-03-24_norav_program_congress_yeshivat-haverim-3,1,FRIENDS_GATHERING,
8010,congress_ukraine_kiev_2017,68370,2017-03-24_norav_program_congress_yeshivat-haverim-4,1,FRIENDS_GATHERING,
8010,congress_ukraine_kiev_2017,68427,2017-03-24_norav_program_congress_yeshivat-haverim-5,1,FRIENDS_GATHERING,
8010,congress_ukraine_kiev_2017,68434,2017-03-24_norav_program_congress_yeshivat-haverim-6,1,FRIENDS_GATHERING,
8010,congress_ukraine_kiev_2017,68435,2017-03-24_norav_program_congress_yeshivat-haverim-7,1,FRIENDS_GATHERING,
8010,congress_ukraine_kiev_2017,68437,2017-03-24_rav_program_congress_yeshivat-haverim-8,1,FRIENDS_GATHERING,
8035,congress_italy_2010,21814,2010-01-22_xx_mlt_norav_misc_rome_megacongress-yeshivat-haverim-1,4,FRIENDS_GATHERING,
8035,congress_italy_2010,21822,2010-01-24_xx_mlt_norav_misc_rome_megacongress-yeshivat-haverim-2,4,FRIENDS_GATHERING,
8035,congress_italy_2010,21826,2010-01-22_xx_mlt_norav_misc_rome_megacongress_cultural-program-1,1,EVENT_PART,EREV_TARBUT
8051,congress_lithuania_2014,31910,2012-03-24_heb_rav_program_congress_sadna-n2,1,LESSON_PART,
8051,congress_lithuania_2014,31911,2012-03-23_heb_rav_program_congress_sadna-n1,1,LESSON_PART,
8051,congress_lithuania_2014,31912,2012-03-24_heb_rav_program_congress_sadna-n3,1,LESSON_PART,
8051,congress_lithuania_2014,31918,2012-03-25_heb_rav_program_congress_sadna-n4,1,LESSON_PART,
