catalog.id,catalog.parent_id,containers.count,containers.ids
3890,3672,161,"{15429,15534,15587,15658,15814,15857,15876,15907,15982,15991,16016,16073,16096,16176,16222,16341,16343,16399,16494,16593,16696,16747,16796,16848,16958,17035,17139,17246,17331,17419,17508,17623,17701,17791,17890,18012,18093,18124,18183,18189,18190,18191,18192,18193,18194,18195,18206,18207,18208,18273,18274,18275,18276,18277,18307,18406,18440,18490,18526,18527,18528,18529,18530,18590,18591,18592,18593,18594,18595,18596,18597,18598,18600,18692,18775,18865,18976,19080,19191,19362,19432,19493,19580,19663,19748,19804,19949,20024,20104,20245,20421,21036,21113,21197,21299,21393,21469,21534,21828,23642,23742,23838,23952,24169,24266,24360,24441,24646,24726,24819,24897,24995,25102,25212,25227,25317,25518,25609,25721,25826,25916,26003,26101,26406,26496,26541,26590,26825,26870,26971,26981,27153,27167,27275,27537,27557,27658,27847,27886,27887,28022,28123,28159,28262,28357,28491,28588,28649,28871,28872,29081,29450,29451,29474,29532,29594,29595,29734,29820,29821,29918}"
3891,3672,125,"{12683,13007,13417,13989,14315,14713,14778,14823,14911,14964,15050,15127,15201,15263,15269,15364,15407,15496,15566,15644,15770,16134,16198,16384,16469,16557,16640,16730,16788,16838,16930,17027,17097,17209,17234,17327,17398,17478,17606,17691,17770,17868,17969,18047,18068,18159,18178,18179,18180,18181,18278,18279,18280,18281,18282,18290,18376,18472,18564,18572,18673,18749,18846,18879,18880,18881,18882,18883,18884,18945,18968,18969,18970,18972,19174,19216,19217,19218,19219,19220,19293,19294,19295,19296,19297,19298,19299,19311,19312,19313,19314,19315,19316,19317,19318,19343,19419,19478,19561,19645,19731,19792,19793,19872,19932,20010,20083,20210,20288,20396,20944,21606,21688,21758,21909,21993,22270,22364,22453,22683,22758,22841,22928,23056,23134}"
3893,3672,13,"{17997,18021,20113,20380,20381,21070,21804,22108,22329,22829,22848,25242,29703}"
3904,3672,41,"{17725,17799,17941,18005,18122,18505,18537,18538,18539,18666,18708,18709,18724,18791,18792,19475,19476,19533,19534,19535,19536,19569,19570,19634,19995,20068,20116,20217,20218,20269,21186,21187,21188,21867,21938,22095,22331,22332,22836,22837,22893}"
3921,3672,13,"{198,5328,5329,5494,5495,5496,12893,12996,14144,17316,17828,19398,32063}"
3930,3672,16,"{18627,18718,19659,19716,19717,19746,19850,19972,20018,20271,20272,20564,21046,21264,21429,21430}"
3931,3672,50,"{1819,7076,8603,8909,9900,10216,10217,10453,11535,11643,11644,11645,11754,11769,11854,11992,12805,13104,14962,15034,15725,16123,16206,16283,16683,16893,17259,17268,17314,17315,19968,20149,20394,20416,20451,20507,20536,20596,20597,20660,20686,20872,21127,21234,21767,21831,22302,22425,23070,26691}"
3943,3672,3,"{18732,18974,19175}"
3944,3672,4,"{18927,20670,20671,20672}"
3946,3672,92,"{14760,16458,16508,16682,17282,17902,18550,18822,18842,18843,18844,18912,19027,19440,19575,19593,19596,19774,19841,19842,19843,19844,19975,20037,20081,20158,20469,20475,20579,20585,20591,20656,20689,20705,20789,21024,21044,21144,21165,21192,21195,21241,21265,21266,21292,21307,21320,21372,21629,21630,21653,21683,21684,21731,21751,21752,21753,21788,21789,21790,21798,21818,21841,21863,21868,21919,21929,21931,21954,21962,21990,22003,22082,22087,22098,22122,22123,22281,22468,22578,22600,22690,22703,22847,22925,24092,24094,24771,25450,25451,25452,26456}"
3949,3672,36,"{19078,19079,19204,19341,19553,19612,19696,19770,19859,19955,20058,20135,20254,20377,20468,20633,20688,20986,22207,22285,22334,22462,22524,22558,22719,22923,23213,23710,23782,24026,24173,24187,24297,24443,24632,24789}"
3950,3672,7,"{19155,19156,19157,19158,19303,19304,19890}"
3955,3672,278,"{19163,19947,19948,20030,20115,20593,20901,21222,21223,21224,21225,21338,21457,21458,22192,22193,22249,22424,22769,23009,23090,23091,23120,23121,23166,23352,24063,24460,24530,24531,28620,32422,32578,32604,32699,32994,33646,34147,34148,34364,37857,38942,39020,39540,39541,39825,40446,40447,40448,40449,40974,40975,40976,40977,41251,41269,41271,41272,41274,41281,41282,41283,41284,41286,41293,41294,41295,41296,41297,41930,41931,41932,41933,41934,41935,41936,41937,41938,43810,43812,45271,45274,46708,46763,46764,47632,47633,47634,48036,48654,48655,48701,48702,48769,48848,51831,51845,51846,51847,51848,51898,51899,52781,52874,52875,52876,52877,52878,52879,53022,53145,53405,54247,54297,54300,54354,54355,54400,54413,54500,54501,54502,54679,54732,54733,54789,54790,54828,54830,54927,54928,54929,54930,54931,54997,54998,54999,55000,55001,55003,55056,55057,55143,55144,55145,55146,55201,55202,55203,55219,55391,55410,55411,55412,55437,55438,55439,55518,55682,55683,55684,56327,56345,56429,56430,56500,56574,56578,56673,56784,56947,56948,57234,57235,57823,58202,58203,58227,58537,58538,58539,58540,58541,58740,58872,58953,58954,58975,58976,58997,59020,59021,59355,59356,59397,59398,59500,59512,59643,59644,59657,59659,59667,59668,59722,59739,60056,60057,60377,60635,61055,61139,61189,61570,61687,62643,62963,63090,63193,63606,63756,63818,63827,63904,63947,64078,64092,64139,64140,64179,64316,64448,64591,64678,64679,64683,64778,64779,64894,64942,65038,65353,65467,65468,65484,65485,65486,65526,65562,65647,65667,65753,65774,65871,65919,66036,66037,66264,66275,66281,66458,66659,66731,66891,67076,67200,67201,67239,67382,67424,67545,67547,67639,67678,67701,67782,69990,69991}"
3961,3672,22,"{19549,19638,19639,19996,20070,20125,20383,20384,20385,22278,22405,22476,22477,22527,22559,22867,22922,22924,23184,23353,24533,24534}"
3973,3672,50,"{674,10278,12366,12367,12368,12470,12471,12472,12542,12559,12620,13085,13569,13790,13791,13792,13793,14425,14474,14554,15106,15232,15387,15450,15451,15783,15802,16228,16740,16917,16962,20032,20195,20196,20225,20393,20686,21234,21831,22425,22909,23070,23691,25780,28665,32696,32698,41365,41376,41377}"
3974,3672,26,"{19848,19849,19860,19907,19909,19921,19922,19923,20008,20069,20256,20574,20743,20760,21059,21247,21354,22166,22218,22489,22633,22766,22961,23094,23445,23752}"
3982,3672,51,"{20144,20145,20146,20147,20148,20189,20435,20436,20466,20920,21491,21492,21766,21869,22204,22205,22236,22403,22404,22702,22755,22873,22874,22974,23186,23187,24216,24217,24473,24858,25074,25277,25625,25655,26042,26258,26287,26379,26953,27111,27112,27919,27920,27921,27922,28809,28935,28936,28937,29045,29046}"
3983,3672,7,"{20157,20168,20467,20550,20551,20632,20742}"
3984,3672,5,"{20173,20174,20177,20270,20634}"
3985,3672,8,"{20178,20276,20277,20371,20382,20431,20543,21030}"
4001,3672,2,"{20673,20687}"
4002,3672,1,{20685}
4003,3672,11,"{20683,20684,20704,21783,22114,22284,22406,22494,22950,24710,28044}"
4086,3672,59,"{21717,21718,22023,22104,22111,22230,22492,22679,22835,22894,23143,23167,23269,23373,23499,23574,23627,23750,23769,23795,23844,23859,23983,24088,24172,24183,24514,24556,24649,24867,25146,25230,25247,25295,25356,25528,25541,25925,26007,26071,26347,26423,26434,26459,26824,26875,26980,27138,27473,27535,27808,28020,28347,28650,52828,54335,54336,54952,56945}"
4091,3672,36,"{21805,21806,22034,22042,22129,22220,22390,22465,22617,22635,22678,22704,22865,23014,23030,23125,23292,23506,23630,23734,23965,24066,24328,24378,24395,24408,24447,24709,25423,25426,25856,26116,26131,56324,56325,56326}"
4118,3672,23,"{22219,22221,22359,22467,22872,22921,22953,28197,28390,28411,28502,28517,28558,28654,28655,28689,28864,28865,29044,29246,29305,29335,29538}"
