catalog_id,catalog_name,container_id,container_name,container.type_id,unit.id,unit.type_id,collection.id
8036,congress_austria_2005,6517,2005-12-11_rb_shamati-003_heb_rav_shiur_viena_congress_shiur-3,4,7706,11,3328
8036,congress_austria_2005,6519,2005-12-09_xx_heb_rav_shiur_viena_congress_shiur-1,4,7703,11,3326
8036,congress_austria_2005,6520,2005-12-11_xx_heb_rav_shiur_viena_congress_shiur-4,4,7707,11,3329
8036,congress_austria_2005,6565,2005-12-11_xx_heb_rav_sicha_viena_congress_nashim,4,7708,11,3330
8089,congress_usa_new-york_2008-11,16289,2008-11-11_bs-ashalom_heb_rav_shiur_ny-2,4,11864,11,5612
8089,congress_usa_new-york_2008-11,16300,2008-11-10_heb_rav_shiur_ny_1,4,11862,11,5611
8089,congress_usa_new-york_2008-11,16301,2008-11-11_bs-ashalom_heb_rav_shiur_ny-3,4,11865,11,5612
8109,congress_israel_haolami_2009-02,16883,2009-01-05_heb_norav_promo-bb_congress-2009,4,12140,11,5736
8109,congress_israel_haolami_2009-02,17184,2009-01-31_xx_heb_rav_sicha_bb_lifnei-congress,4,12270,11,5797
8109,congress_israel_haolami_2009-02,17195,2009-02-02_xx_heb_norav_achana_ta_congress,4,12273,11,5800
8109,congress_israel_haolami_2009-02,17196,2009-02-02_xx_heb_rav_shiur_ta_congress-lesson-1,4,12274,11,5800
8109,congress_israel_haolami_2009-02,17197,2009-02-02_xx_heb_norav_seuda_ta_congress-zohoraim,4,12275,11,5801
8109,congress_israel_haolami_2009-02,17198,2009-02-02_xx_mlt_norav_yhaverim_ta_congress,4,12276,11,5802
8109,congress_israel_haolami_2009-02,17199,2009-02-02_xx_heb_rav_shiur_ta_congress-lesson-2,4,12277,11,5803
8109,congress_israel_haolami_2009-02,17200,2009-02-02_xx_heb_norav_seuda_ta_congress-erev,4,12278,11,5804
8109,congress_israel_haolami_2009-02,17202,2009-02-02_xx_heb_rav_sicha_ta_congress-lesson-3,4,12280,11,5806
8109,congress_israel_haolami_2009-02,17205,2009-02-03_xx_heb_rav_shiur_ta_congress-lesson-4,4,12283,11,5808
8109,congress_israel_haolami_2009-02,17207,2009-02-03_xx_heb_norav_sadna_ta_congress-yarid-afatza,4,12284,11,5809
8109,congress_israel_haolami_2009-02,17208,2009-02-03_xx_heb_norav_seuda_ta_congress-zohoraim,4,12285,11,5810
8109,congress_israel_haolami_2009-02,17211,2009-02-03_xx_heb_rav_sadna_ta_congress-atzagat-sfarim,4,12287,11,5812
8109,congress_israel_haolami_2009-02,17212,2009-02-03_xx_mlt_norav_yhaverim_ta_congress,4,12288,11,5813
8109,congress_israel_haolami_2009-02,17213,2009-02-03_xx_heb_norav_seuda_ta_congress-erev,4,12289,11,5814
8109,congress_israel_haolami_2009-02,17215,2009-02-04_xx_heb_rav_shiur_ta_congress-lesson-5,4,12290,11,5815
8109,congress_israel_haolami_2009-02,17216,2009-02-04_xx_heb_rav_sadna_ta_congress-medinat-a-kabbalah,4,12291,11,5815
8109,congress_israel_haolami_2009-02,17217,2009-02-04_xx_heb_norav_seuda_ta_congress-zohoraim,4,12292,11,5816
8109,congress_israel_haolami_2009-02,17218,2009-02-04_xx_mlt_norav_yhaverim_ta_congress,4,12293,11,5817
8109,congress_israel_haolami_2009-02,17219,2009-02-04_xx_heb_rav_achana_ta_im-yeladim-congress-lesson-6,4,12294,11,5818
8109,congress_israel_haolami_2009-02,17220,2009-02-04_xx_heb_rav_shiur_ta_congress-lesson-6,4,12295,11,5819
